date,London,South East,East Anglia,East Midlands,Yorkshire & Humber,Scotland,North West,South West,West Midlands
1996-09-01,0.45,0.45,0.73902804,0.54,0.7064718,0.69707406,0.70004463,0.7100233,0.65
1996-10-01,0.25,0.65,0.495,0.72792447,0.48,0.52,0.5233333,0.58500004,0.55
1996-11-01,0.67499995,0.57500005,0.525,0.65,0.65,0.69707406,0.70004463,0.79,0.62666667
1996-12-01,0.74333334,0.675,0.73902804,0.72792447,0.7064718,0.69707406,0.64,0.69,0.74
1997-01-01,0.775,0.5133333,0.73902804,0.49,0.49,0.695,0.49,0.49,0.59
1997-02-01,0.49,0.5866667,0.53999996,0.515,0.7064718,0.49,0.70004463,0.59,0.71674305
1997-03-01,0.69,0.82,0.73902804,0.675,0.59,0.69707406,0.7233333,0.74,0.6766667
1997-04-01,0.69,0.66499996,0.69,0.8,0.49,0.46,0.52,0.7633333,0.71674305
1997-05-01,0.54999995,0.74666667,0.72,0.72792447,0.7064718,0.96,0.70004463,0.7100233,0.71674305
1997-06-01,0.7117109,0.45,0.73902804,0.595,0.45,0.545,0.59,0.59,0.45
1997-07-01,0.425,0.9,0.59,0.59,0.425,0.5,0.53499997,0.45,0.71674305
1997-08-01,0.445,0.7577874,0.55,0.72792447,0.44333333,0.7,0.58500004,0.7100233,0.585
1997-09-01,0.89,0.89,0.73902804,0.72792447,0.89,0.69707406,0.77,0.685,1.0699999
1997-10-01,0.745,0.83500004,0.73902804,0.72792447,0.59,0.82000005,0.59,0.48,0.69
1997-11-01,0.62,0.69,0.6,0.72792447,0.6,0.69707406,0.6166667,0.53999996,0.71674305
1997-12-01,0.66,0.615,0.5,0.72792447,0.7064718,0.69707406,0.79,0.7100233,0.59
1998-01-01,0.59,0.69,0.49,0.62,0.49,0.55,0.69,0.7100233,0.62
1998-02-01,0.5,0.54499996,0.525,0.72792447,0.51,0.47,0.49,0.4,0.445
1998-03-01,0.7117109,0.6675,0.73902804,0.69,0.74,0.69707406,0.79,0.89,0.71674305
1998-04-01,0.7117109,0.48999998,0.73902804,0.72792447,0.7064718,0.56333333,0.545,0.39,0.71674305
1998-05-01,0.625,0.42,0.445,0.49,0.48,0.69707406,0.70004463,0.39,0.29
1998-06-01,0.495,0.7577874,0.73902804,0.72792447,0.49,0.485,0.9,0.44,0.595
1998-07-01,0.58500004,0.52,0.42,0.495,0.7064718,0.55333334,0.39,0.39,0.39
1998-08-01,0.7117109,0.595,0.5,0.725,0.59,0.74,0.59,0.7100233,0.71674305
1998-09-01,0.75,0.7577874,0.73902804,0.72792447,0.59000003,0.69707406,0.70004463,0.75,0.69
1998-10-01,0.69,0.56,0.73902804,0.69,0.79,0.78999996,0.635,0.69,0.89
1998-11-01,0.8,0.94,0.73902804,0.72792447,0.74,0.84000003,0.84000003,0.7100233,0.79
1998-12-01,0.7117109,0.52,0.55,0.72792447,0.74,0.69707406,0.59,0.7100233,0.71674305
1999-01-01,0.4,0.7,0.49,0.72792447,0.52,0.89,0.70004463,0.69,0.71674305
1999-02-01,0.53499997,0.6275,0.39,0.53999996,0.7064718,0.63,0.564,0.5233333,0.71674305
1999-03-01,0.515,0.45,0.73902804,0.645,0.7064718,0.69707406,0.53999996,0.7100233,0.48999998
1999-04-01,0.7117109,0.5325,0.49,0.45,0.45,0.69707406,0.49333334,0.53,0.45
1999-05-01,0.5675,0.515,0.73902804,0.5,0.7064718,0.69707406,0.58,0.44,0.71674305
1999-06-01,0.5,0.69,0.39,0.72792447,0.59,0.69707406,0.70004463,0.47,0.71674305
1999-07-01,0.665,0.7577874,0.505,0.72792447,0.58,0.59,0.85,0.49,0.71674305
1999-08-01,0.89,0.635,0.73902804,0.45,0.59000003,0.69707406,0.70004463,0.7100233,0.695
1999-09-01,0.6,0.85,0.5,0.72792447,0.65,0.69707406,0.56666666,0.7100233,0.65
1999-10-01,0.4,0.69500005,0.73902804,0.59,0.7064718,0.69707406,0.69,0.59,0.71674305
